Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
Carving Wooden Eggs,The Grand Old Flag Egg,"Tudor, Linda",,,39,Summer,2007,21-24,Relief Carving,Eggs,Flags,Stars,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Preserving the Past,"The rise, fall, and rebirth of carved carousel horses",Staff,,,39,Summer,2007,26-32,Carousel,Community,History,Horses,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Carving Habitat: Mushroom,Add realism to your wildlife carvings or carve this mushroom as a stand alone piece,"Vermillion, Kenny","Saathoff, Carl",,39,Summer,2007,34-37,Power Carving,Mushroom,Habitat,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Tool Control,Proper techniques for safe and efficient use,"Pye, Chris",,,39,Summer,2007,38-43,Low angle grip,High angle grip,Basic grips,Holding,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Mississippi Alligator,Stiller Patterns,"Stiller, Gordon","Stiller, Marsha",,39,Summer,2007,44-45,Alligator,Pattern Profiles,Animals,Wildlife,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Stylized Grizzly Bear,Simple lines capture the essence of the animal without hours of detailing,"Winn, Kelly",,,39,Summer,2007,46-49,Bear,Stylized,Grizzly,Animals,Wildlife,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Personalized Love Spoon,Pattern template makes production carving easy,"Gledhill, Jim",,,39,Summer,2007,50-54,Love spoon,Celtic,Gems,Relief,Personalized,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Realistic Sanderling Painting Templates,These easy templates crete a flawless finish,"Herbert, Del",,,39,Summer,2007,55-57,Birds,Shorebird,Feathers,Painting,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Elf Country Stylized Mask,Combine realistic facial features with stylized techniques for a striking display,"Cacioppo, Lou","Cook, Mary",,39,Summer,2007,58-64,Mask,Elf,Stylized,Human,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Duck Tonight,Facial expressions and body language let you tell a story with your carving,"Smith, Arnold",,,39,Summer,2007,65-67,Caricatures,Hunter,Duck,Gun,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Sculpting in Wood,Talented artist pays tribute to loved ones,"Sager, Betty",,,39,Summer,2007,68-69,Busts,Human,Realistic,Sculpture,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
All About Buying Wood,A handy reference guide and inside tips from 30 years of buying carving wood,"Schroeder, Roger",,,39,Summer,2007,70-73,Wood,Types of Cuts,Surfaced Vs. Unsurfaced,Wood Defects,Nominal Measurements,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
First Cuts,A carver's journey to becoming a member of the Caricature Carvers of America,Caricature Carvers of America,CCA,,39,Summer,2007,74-77,Caricatures,"Rhadigan, Floyd","Stetson, Dave","Travis, Bob","Brown, Tom",http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Portable Carving Station,"A sturdy, shop-made workbench that folds up when not in use","Haumesser, James M.",,,39,Summer,2007,78-79,Workshop,Workstation,Bench,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Teapot Clock,Charming clock with chip-carved details is perfect for the kitchen,"Mckenzie, Barry",,,39,Summer,2007,80-85,Chip Carving,Clock,Spoon,Teapot,Pendulum,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Undercutting,Teacher's Corner,"Irish, Lora S",,,39,Summer,2007,96,Relief Carving,Undercutting,Shadows,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-39-summer-2007.html
Product Review,Work Sharp Sharpening System WS 3000 and Preferred Edge Bent Pull Knife,Staff,"Wilbur, Frederick",,40,Fall,2007,14,Work Sharp,WS3000,Preferred Edge,bent pull knife,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Relief Column,Acorn Relief,"Irish, Lora S",,,40,Fall,2007,18,Relief Carving,Acorn,Plaque,Personalized,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Ivory Billed Woodpecker,Stiller Patterns,"Stiller, Gordon","Stiller, Marsha",,40,Fall,2007,20,Woodpecker,Pattern Profiles,Birds,Wildlife,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Chip Carved Letters,Simple block style is easy to carve,"Mckenzie, Barry",,,40,Fall,2007,22-23,letters,Technique,Chip Carving,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Laughing Bear,Simple cuts add texture to this happy fellow,"Villars, Jim",,,40,Fall,2007,26-29,Caricatures,Bear,Stylized,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Country Charm Quilt Squares,Classic fruit motifs are easy to carve,"Irish, Lora S",,,40,Fall,2007,32-35,Relief Carving,Fruit,Lettering,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
African Elephant,Woodburning makes it easy to reproduce a leathery texture,"Hajny, Desiree",,,40,Fall,2007,37-43,Elephant,African,Wildlife,Woodburning,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
First Cuts,A carver's journey to becoming a member of the Caricature Carvers of America,Caricature Carvers of America,CCA,,40,Fall,2007,44-47,Caricatures,"Bishop, Phil","Fuller, Gene","Hayden, Will","Kaisersatt, Marv",http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
English Renaissance Candlesticks,Repeating design and traditional elements combine for a striking display,"Wilbur, Frederick",,,40,Fall,2007,48-54,Candlesticks,Traditional,Architectural,Turning,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
"Woodcarvers of the Year - Ed Gallenstein, Lora S. Irish",Dual award honors supporters of the carving community,,"Irish, Lora S","Gallenstein, Ed",40,Fall,2007,55-59,Community,Woodcarver of the Year,NWCA,Carving Patterns,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Pipe Dreams,Creating beautiful faux ivory carvings from PVC pipe,"Coker, Chuck",,,40,Fall,2007,60-63,PVC Pipe,Faux ivory,Dragon,Power Carving,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Carving a Traditional Bowl &amp; Spoon,Functional items showcase the beauty of wood,"Bragg, David",,,40,Fall,2007,64-69,Bowl,Spoon,Traditional carving,Rustic,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
The Wood Sculptures of Darwin Dower,Historic rural life captured in amazing detail,,,,40,Fall,2007,70-73,Realistic,Rural Scenes,Power Carving,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Basic Cuts,Master the five basic cuts to increase your carving efficiency,"Pye, Chris",,,40,Fall,2007,74-79,Running cut,Stabbing Cut,Stop Cut,Sweep Cut,Slicing cut,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Colorful Snake Cane,Combine realistic and stylized elements for a striking project,"Darnell, Ron",,,40,Fall,2007,80-85,Realistic,Snake,Cane,Airbrush,Power carving,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
Painting Supplies,Accessories to help you paint successfully,"Rhodes, Vicki",,,40,Fall,2007,96,Teacher's corner,Painting supplies,Brushes,Pallete,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-40-fall-2007.html
2007 Santa Carving Contest,Prize-winning entries and highlights from annual contest,,,,41,Holiday,2007,17-26,Santas,Contests,Winner,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Pursuing a Passion,Technology enables blind artisan to continue carving,Staff,,,41,Holiday,2007,28-30,Blind,Carver,Laser,Relief,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Woodcarving Hollywood Style,Local artist teach Sissy Spacek to carve for her latest role,Staff,,,41,Holiday,2007,32-33,Actor,Carving,Sissy,Spacek,Leger,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Simple Starter Santa,Basic design makes a great beginner project,"Schuck, Kathleen",,,41,Holiday,2007,34-36,Santa,Beginners,Simple,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Easy Evergreen Puzzle,Clever puzzle design is easy to make,"Smith, Sandy",,,41,Holiday,2007,38-40,Tree,Puzzle,Simple,Ornament,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Folk Art Santa,An antique finish gives Santa the look of a treasured heirloom,"Jensen, Rick",,,41,Holiday,2007,42-44,Santa,Bark,wreath,Antique,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Easy weekend nuthatch pin,Create a clock of feathered friends with basic power carving techniques,"Calef, George",,,41,Holiday,2007,46-47,Bird,Nuthatch,Pin,power carving,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Olde World Santa Ornament,Add texture and dimension with pierced relief techniques,"Gargac, Mark",,,41,Holiday,2007,48-54,Santa,Ornament,Pierces,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Holiday Memories Santa,Quick and easy carving produces a functional display,"Cipa, Shawn",,,41,Holiday,2007,55-59,Santa,Picture holder,Folk,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Carving a Dogwood Leaf,Power carving technque for realistic habitat,"Vermillion, Kenny",,,41,Holiday,2007,60-64,Leaf,Dogwood,Habitat,Power Carving,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Decorative floral sled,Vibrant colors and deep relief undercuts bring this piece to life,"Phillips, Charley",,,41,Holiday,2007,65-71,Poinsetta,Sled,flower,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
First Cuts,A carver's journey to becoming a member of the Caricature Carvers of America,,,,41,Holiday,2007,72-75,Caricatures,Enlow,Landen,Sears,You,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Simple carved moldings,Use basic cuts to create accents for frames and furniture,"Pye, Chris",,,41,Holiday,2007,76-81,Molding,Traditional,Tips,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Delicate Pierced Ornaments,Innovative chip carving technique creates unique decorations,"Mckenzie, Barry",,,41,Holiday,2007,82-84,Chip Carving,Ornament,pierced,,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Sharpening a V-tool,Learn to tune this difficult-to-sharpen tool,"Berold, Charles",,,41,Holiday,2007,96,Teacher's corner,Tools,V-tool,Sharpening,,http://foxchapelpublishing.com/wci-issue-41-holiday-2007-retail.html
Product Review,"Woodcarving with Chris Pye, Vol. 1 Sharpening Techniques and Seyco's SeeSander",Staff,,,42,Spring,2008,14,chris pye,sharpening dvd,Seyco,seesander,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Relief Column,Spirit Chief,"Irish, Lora S",,,42,Spring,2008,16,relief carving,native american,project,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Classic Ball in Cage,This old-time whittling project is fun to carve and a real attention-getter,"Dussinger, Addison",,,42,Spring,2008,19-21,whittling,Ball in cage,whimsey,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
The Work of Joe Wannamaker,Late teacher shared his passion with a generation of carvers,Staff,,,42,Spring,2008,22-23,Wannamaker,Joe,Caricatures,Gallery,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Best of Show,Award-winning carvings from across the country,,,,42,Spring,2008,24-27,Community,Contests,CCA,Davenport,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
First Cuts,A carver's journey to becoming a member of the Caricature Carvers of America,,,,42,Spring,2008,28-31,Caricatures,Leclair,Humphreys,Morrill,Otto,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Making Free-form Custom Wooden Boxes,This lesson in joinery and feeling the wood produces boxes that are a joy to hold and touch,"Burton, Mike",,,42,Spring,2008,32-35,Boxes,Joints,Technique,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Line Carving: Three Simple Styles,Master the basics of drawing with a veiner,"Pye, Chris",,,42,Spring,2008,36-41,Line carving,Bull,Technique,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Express Yoursef,Convey emotions with exaggerated facial expressions,"Farr, Jim",,,42,Spring,2008,42-43,Caricatures,Expressions,Faces,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
On the Wild Side with Jeffrey Cooper,Quality craftsmanship and wildlife carvings combine for deslightfully whimsical furniture,"Ryan, Kathleen",,,42,Spring,2008,44-47,Animals,Benches,Chairs,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Elegant Oak Leaf Mantle Clock,Create a treasured family heirloom with easy positive-image chip-carving techniques,"Barton, Wayne",,,42,Spring,2008,48-51,Chip carving,Clock,leaves,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Realistic Skin Tones,Simple mixtures and techniques create a variety of flesh colors,"Irish, Lora S",,,42,Spring,2008,52-57,Walking stick,Paint,Flesh colors,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Custom Presentation Plaque,Change the relief-carved elements for a personalized award,"Truitt, Floyd L.",,,42,Spring,2008,58-63,Plaque,Relief Carving,Home Decor,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Stylish Birdhouse,Relief-carved shingles and graceful designs adorn this essential songbird house,"Mckenzie, Barry",,,42,Spring,2008,65-69,Chip Carving,Birdhouse,Relief Carving,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Kolrosing: Norwegian Line Carving,Easy-to-learn carving technique produces beautiful decorative designs,"Ritger, Judy",,,42,Spring,2008,70-73,Line carving,Kolrosing,Plate,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Cut your own carving blanks,Simple technique reduces the time you spend roughing out a carving,"Duginske, Mark",,,42,Spring,2008,74-75,Band Saw,Tools,Shopmade,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
"All About Files, Rasps &amp; Rifflers",These versatile tools have a wide range of carving uses,"Schroeder, Roger",,,42,Spring,2008,78-80,Tools,Files,Rasps,Rifflers,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Paintbrush Basics,Guidelines for getting the most from your brushes,"Rhodes, Vicki",,,42,Spring,2008,96,Teacher's corner,Painting supplies,Brushes,,,http://foxchapelpublishing.com/woodcarving-illustrated-issue-42-spring-2008.html
Product Review,"Woodcarving with Chris Pye, Vol. 2: Letter Carving, Vol. 3: Ornamental Carving and Lee Valley Painters' Pyramids",Staff,,,43,Summer,2008,14,chris pye,letter carving,ornamental carving,lee valley,painter's pyramids,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
Relief Column,Celtic Cross,"Irish, Lora S",,,43,Summer,2008,16,relief carving,celtic,religious,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
Checkmate,Novel chip-carved chess set is sure to become a family heirloom,"Mckenzie, Barry",,,43,Summer,2008,19-23,Chip Carving,Chess,Games,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
Strategy with a Theme,Jim Arnold's clever chess set designs,"Arnold, Jim",,,43,Summer,2008,24-25,Chess,Games,Practical,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
Hobo Nickles,Modern carver recreate unique American folk art,"Shamey, Bob",,,43,Summer,2008,26-27,Nickles,Hobo,Coins,Folk art,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
First Cuts,Artists chronical thei journey from beginner to accomplished carver,,,,43,Summer,2008,29-31,Henn,Thornton,Schmitgen,Price,caricature,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/woodcarving-illustrated-issue-43-summer-2008.html
